,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"111 - Milk, cow's, fluid, 2% fat",5.533371639635956,7.545099718288955,3.3066700488802434,0.0,0.0,0.0,1.9935646099788722,0.8465893493419488,1.063623983815109,1.1588721099419395,1.7001616235671848,0.821788188958149,0.0,1.6936454151514517,1.382249940776205
"112 - Milk, evaporated, whole (formerly NS as to dilution, used in coffee or tea)",0.04459263135185741,0.08503311631455675,0.12748664041397886,0.0,0.0978201176465784,0.0,0.0,0.09692112381691681,0.36516439907007825,0.0720702971380032,0.34575586789334983,0.001381505734913249,0.0,0.28837747994047364,0.0
"113 - Milk, soy, ready-to-drink, not baby's",3.332410807034116,0.0,0.24855793541637977,0.0,0.24808772374283178,0.009189852731758277,0.0,0.0,0.6906466984873462,0.0,0.0,0.0,0.0,0.424542642809063,0.0
"114 - Yogurt, fruit variety, lowfat milk",11.497430138076583,0.0,0.6370276537931041,0.0,0.0,0.0,0.0,0.0,0.0,0.15376743298041395,0.01039069401310344,0.2844934396337425,0.0,0.0,0.0
115 - Cafe con leche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.97334966638384,0.0,0.0,0.0,0.0
"116 - Meal supplement or replacement, commercially prepared, ready-to-drink",0.1413446046949289,0.0,0.2718633699823032,0.0,0.25233109445835167,0.0,0.0,0.07314397845267696,0.0,0.12946616366764754,0.17274754147087903,0.12257590192320895,0.2725885613508737,0.0,0.1554706313147583
"118 - Cocoa (or chocolate) flavored beverage powder with sugar, dry mix, not reconstituted",0.7417861959550551,0.00018431961155583699,0.3029204543350422,0.0,0.0,0.0,0.18824094803803398,0.0,0.1421523643331053,0.037426641743042444,0.5026161322625221,0.08562811086787424,0.05297048317921411,0.03279324009976177,0.14435373453157016
"121 - Cream, half and half",2.6732200405287103,2.1532074536487817,0.19329157580020226,0.3628476338121698,0.13424892134701374,0.0,0.35929237912122924,0.0,0.0,0.22390221015473658,0.0,0.0,0.0,0.0,0.0
"122 - Cream substitute, powdered",1.3406262096667014,3.056626769638635,0.49061670427469306,0.02953620217940539,0.0,0.0,1.4865751135700231,0.5580318474944919,0.0,0.7638980306429712,0.0,0.0,0.07770457205388327,0.4688803036655228,0.0
123 - Sour cream,0.6774846145888266,0.9971407821157292,0.0,0.45924766646191273,0.0,1.1267914365985794,1.621237498410687,0.0,0.008755922693504227,0.0,0.0,0.0,0.3724572204599878,0.0,0.0
"131 - Ice cream, regular, flavors other than chocolate",1.6961014514882629,7.7150060117699075,0.0,0.0,0.2677133332581585,0.0,0.0,1.2051594154266188,0.0,0.008916016369465811,0.0,0.0,0.0,0.0,1.8468457229924484
"132 - Pudding, rice",0.9896060963817226,1.028846915321854,0.0,0.0,0.9601393744977951,0.19220319834536662,0.0,0.3640506601791598,0.0,0.5243878089110026,1.110356540522897,0.13446238143338377,0.0,0.0,0.17320746302647694
"134 - White sauce, milk sauce",0.10084937673144301,0.14579343390681854,0.0,0.21673892921884247,0.1965821591796897,0.0,0.0,0.4595968528422229,0.0,0.053238753470036516,0.0,0.0,0.0017014504768225714,0.0,0.04857621384434032
"140 - Cheese, NFS",1.16853778704342,1.932002133843168,0.9365550499504492,0.6758610268828157,0.07388828073311655,0.28869627045234114,0.8106063192992574,0.0,0.0,0.0,0.26615094769513775,0.0,0.838479533207416,0.0,0.0
"141 - Cheese, natural, Cheddar or American type",3.6582309738043324,4.1786441642111996,0.7711117556123814,0.9715050980253155,0.0,0.9140243298292581,1.2746429752193522,0.0,0.2720110412783164,0.0,0.3968611126435161,0.21099281634942088,0.0,0.13000050308429287,0.07168798289370457
"142 - Cheese, cottage, lowfat (1-2% fat)",3.070166602678556,0.42211308368102074,0.0,0.0,0.0,0.0,0.0,0.08488437944266589,0.0,0.21616138773025537,0.0,0.0,0.0,0.0,0.0
"143 - Cheese, cream",0.5904090746556535,0.784677970916605,0.4207456256969582,0.3919602220802888,0.1010101425337106,0.0,0.0,0.0,0.19158862098260795,0.0,0.03767131646149707,0.013842925972738314,0.0,0.0,0.022406330720519233
"144 - Cheese, processed, American or Cheddar type",0.0,4.031116576877977,0.5012384051605967,1.0515367698309968,0.5227042232012312,0.23221407926273155,0.0,0.09322793212735936,0.30941445640123405,0.0,0.05676059280772112,0.0,0.37413977432976897,0.0,0.0
"146 - Dip, cheese base other than cream cheese",0.3478699243088529,0.7172560443088151,0.2851575577230754,0.3017093803353097,0.1337154073689213,0.0,0.0,0.05152541816961183,0.0,0.0,0.1777561446284696,0.0,0.7284792730834933,0.0,0.0
"210 - Beef, NS as to cut, cooked, NS as to fat eaten",0.0,0.0,0.0,0.09522078912255037,0.10612414110441162,0.005952337587526702,1.2337758335209987,0.0,0.0,0.0,0.275945131572374,0.15395989317832365,0.07140885155445603,0.2617243892479172,0.23027314275815147
"211 - Beef steak, broiled or baked, lean only eaten",0.5863052472594044,0.0,0.0,1.2600633799940175,0.0,0.7463350602391011,5.905859263625301,3.274221489418418,0.20521992419460594,0.0,0.07895013311690369,0.0,0.00757241981523475,0.0,0.0
"213 - Beef, shortribs, cooked, lean only eaten",0.0,0.027194869108407294,0.12833881567736977,0.14150973454808424,0.5391988934158803,0.3162190654611341,0.10365426992841781,0.0,0.011859715896732365,0.0,0.0,0.2127838962470822,0.0,0.0,0.0
"214 - Beef, roast, roasted, lean only eaten",0.22063629300859053,0.8343362597088172,0.0,0.41224474193784144,0.5173825173004966,0.34518447045877415,0.0,3.24172544106317,0.0,0.0,0.14017613504886453,0.0,0.0,0.0,0.02293076133496854
"215 - Ground beef or patty, cooked, NS as to percent lean (formerly NS as to regular, lean, or extra lean)",0.0,4.7780378284431855,0.0,1.5583853875142706,0.0,0.02774111744672063,2.721969862228222,0.0,0.0,0.0,0.0,0.0,0.7416137962227936,0.0,0.0
216 - Beef jerky,0.26172716756630543,0.42461012701084444,0.14769213471145484,0.2341415314656646,0.0,0.0,0.14383189850861028,0.0,0.0,0.0,0.0,0.0,0.07032616472653992,0.0,0.0
"220 - Pork, NS as to cut, cooked, NS as to fat eaten",0.0,0.0,0.19945215449534393,0.1744039428282495,0.27900452339288984,0.0,1.8351492415143464,0.000930646896351358,0.0,0.07928233023690852,0.27598186944470343,0.018960983095487452,0.0,0.0017102269712817569,0.019711041250899636
"221 - Pork chop, broiled or baked, lean only eaten",0.0,0.4063060245832877,0.26712388104671586,0.15511929387774887,0.0,0.0,0.14159662223859235,3.31269217304699,0.0,0.4395757235177873,0.0,0.19153275176957413,0.0,0.0,0.9628466785332866
"222 - Pork steak or cutlet, broiled or baked, lean only eaten",0.5049685943053439,0.18517959401570833,0.11423268077150937,0.5074716294149495,0.16540291542005037,0.0,0.0,0.3800495429501502,0.0,0.06892716099261058,0.23705673586717638,0.03754097328980954,0.0,0.0,0.0
"223 - Ham, smoked or cured, cooked, NS as to fat eaten",0.646990345277625,0.9807457353561612,0.0,0.24346855586071495,0.0,0.1653043115363837,0.5943952844527991,1.0154782756200709,0.0,0.1164934290058945,0.0,0.0,0.13692221379828812,0.007186109739546443,0.0
