factor_id,label,Fructans,GOS,Lactose,Excess Fructose,Polyols,Low FODMAP,Unknown
0,"Fruit, Yogurt & Red Wine",10.239673013208902,4.698253666052792,10.462256660575848,3.024191707642838,4.318441375496166,35.695277145699606,31.561906431323862
1,"Caffeine, Soda & Quick Meals",18.734869600360913,0.5138606832637446,12.802765871998481,10.703050247685333,2.348349771911212,29.919595689248375,24.977508135531945
2,"Chicken, Rice & Bottled Water",12.197218230044808,1.740549215952913,5.75351006822187,5.329163528668125,2.3583303185560114,55.531715525579315,17.089513112976963
3,Alcoholic Beverages & Snacks,7.604691741770736,0.7851144047973703,2.4203067481350615,5.53883231376258,2.2903591792899927,25.497639489727558,55.863056122516696
4,"Unsweetened Tea, Rice & Poultry",12.180443568874995,1.640066346213195,5.972339611918612,1.182953716648859,4.645903303266204,59.6044203743233,14.773873078754837
5,"Fruit Juice, Pasta & Salty Snacks",10.020576386596185,0.0,2.1631928986002076,53.8762344504369,2.630340014916259,15.482040689276577,15.82761556017388
6,"Corn Tortillas, Beans & Eggs",5.9578050633422395,18.039536519566127,4.809768480147447,7.812439349901017,16.66519465295412,36.255700555500944,10.4595553785881
7,"Mashed Potatoes, Gravy & Poultry",15.308197662410086,0.9428004692051092,6.4661351724525185,3.0136898367156033,8.429592555151036,58.012581845559865,7.827002458505775
8,"Apple Juice, Rice & Chicken",10.896569423803081,1.0527018660051832,3.9394883318694287,42.704395035395564,3.5282645130951598,21.757969519527325,16.120611310304263
9,Chicken Pot Pie & Coffee,55.63678539144051,0.8755797037003675,6.661872710067423,3.637174398682551,0.08195157237000404,22.73235304762441,10.374283176114742
10,Cafe con Leche & Dairy Products,6.7112016242610695,0.6837605726828164,62.07202611841838,3.772393720835035,1.4790882141681747,13.858202125054383,11.423327624580143
11,Noodle Soups & Dairy,64.42216346397258,0.5675395410624471,4.2394559490158805,1.2658721390507472,1.1011534223846977,16.482929453869453,11.920886030644217
12,"Cheeseburgers, French Fries & Cola",36.58378173201628,0.0,2.740835130631895,15.68208440780206,2.4450639796212537,30.922080793666957,11.626153956261579
13,"Chicken Soup, Citrus & Tortillas",5.720854524266813,4.354270277174441,6.223298102196704,2.727385261123385,4.628779758341455,63.581488347522466,12.763923729374751
14,"Orange Juice, Bananas & Ice Cream",12.738488856645514,0.5048804504743684,7.156641876408125,3.098545460256022,0.0,67.80935524342937,8.69208811278661
