factor_id,symptom,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value,odds_ratio,logistic_p_value,logistic_coefficient,overall_prevalence_or_mean,active_users_symptom_prevalence
0,diarrhea,-0.07285291900200044,1.4229550467344632e-07,-0.06370974895316607,4.216905704725218e-06,0.3823171815839744,1.6687701642759123e-07,-0.9615046966164355,23.06953515174798,22.499370118417737
0,constipation,-0.020092394501175722,0.1471155404648741,-0.000883187000437231,0.9491922199970563,0.782196807371668,0.14719229087374308,-0.24564889827009123,24.692780337941628,25.239294710327453
0,bowel_urgency,-0.027886585416175225,0.04422012916160505,-0.02056360933320732,0.13793663329835923,0.7292432137155292,0.04433241954390921,-0.3157479761184982,31.713407606607763,31.687657430730475
0,laxative_taken,0.059423614037904686,1.7708710005611393e-05,0.07264076958961055,1.530004727486361e-07,2.4685359348851756,1.9493829993333378e-05,0.9036252359878437,11.247600767754319,12.540921682195922
0,stool_frequency,0.027762633855667733,0.15214253530337124,0.021189179991002106,0.27445706442549095,1.0,1.0,0.0,11.916604057099924,1192.9447852760736
0,stool_type,-0.020950304484693615,0.13228185300596196,0.02760944702555944,0.047283995650378836,1.0,1.0,0.0,4.380398992833624,430.0025361399949
0,bristol_constipation,-0.040956974993369005,0.003336793848313981,-0.04840657018860573,0.0005218635130424771,0.4158231547995249,0.0034388591671301594,-0.8774952177601626,7.558932398207675,7.008154943934761
0,bristol_diarrhea,-0.01098364649414974,0.4314253204096205,-0.010249570387306414,0.4628448447388479,0.8019618599643977,0.4314235337512513,-0.22069422840056982,7.500487044613287,7.339449541284404
1,diarrhea,0.02414961315652077,0.0814571147170058,0.020134201428910214,0.14635327068156354,1.3101553006314446,0.08152770459677017,0.2701456802868918,23.06953515174798,23.30337078651685
1,constipation,-0.02778828291966158,0.04493224178022002,-0.021835139474627993,0.11512387194151763,0.7338487522843314,0.045010716832370345,-0.30945233115894066,24.692780337941628,24.71354751741182
1,bowel_urgency,0.019021521571832373,0.1699865241345726,0.019635197638725198,0.1566212002580338,1.2134310600902565,0.16999815001590068,0.19345193376747458,31.713407606607763,32.16453135536075
1,laxative_taken,0.025051734555458664,0.0705921341232567,0.023536181806157096,0.08938005689958488,1.4485170181036746,0.0707196561500476,0.3705402869353829,11.247600767754319,11.318212441050978
1,stool_frequency,-0.06808837051850758,0.0004390581650828118,-0.08657995387793833,7.700013539575423e-06,1.0,1.0,0.0,11.916604057099924,1172.5870427501102
1,stool_type,-0.008535221342731623,0.539775427975967,-0.007507442822607073,0.589668196298478,1.0,1.0,0.0,4.380398992833624,440.07702763932934
1,bristol_constipation,-0.022623326613177668,0.1050905914590967,-0.021169284047562183,0.12939979175016775,0.6598195331509072,0.10525783178248682,-0.4157889159715649,7.558932398207675,7.545019375427399
