seqn,factor_0,factor_1,factor_2,factor_3,factor_4,factor_5,factor_6,factor_7,factor_8,factor_9,factor_10,factor_11,factor_12,factor_13,factor_14
51624,0.0,0.2946507467603234,0.4865089337568724,0.0,0.0,0.0,0.06616372388422757,0.0,0.0,1.068708564919955,0.0,0.0,0.0,0.05375582695722045,0.024532974529339415
51628,0.1345764005067193,0.39346137612126525,0.027849745348184927,0.007883551537264196,0.6097058108893868,0.0,0.3260877817145718,0.08411677417227512,0.017141570834935588,0.015454462913234449,0.0,0.00289630464498246,0.02576579915665491,0.009085379167862888,0.0
51629,0.0,0.57779087252253,0.6072619603493123,0.7160193167374742,0.0,0.012576057013800195,0.0,0.0,0.014010619624103242,0.0,0.0,0.0,0.1782258942222923,0.0,0.0
51630,0.4159130726671439,0.0,0.439795861008313,0.0,0.5565466650005575,0.0,0.33799085837638515,0.08263273281174392,0.005806511928307644,0.016183908424425804,0.0,0.0,0.0,0.002529941075728611,0.0
51633,0.2740807302150719,0.4445886686518166,0.0,0.5580668998064277,0.0,0.0,0.11027499985817676,0.07157933811766357,0.0,0.016094029721925186,0.012106462767437891,0.025408392965938505,0.0,0.09096675085603846,0.06018447913916867
51635,0.1359121211993723,0.3669306304653501,0.0,0.04938175499558153,0.0087157871413664,0.0016872192262061643,0.0,0.40928466588997015,0.03621163169889524,0.0,0.02023705029739933,0.8637217091372117,0.0,0.0,0.0
51643,0.0,0.38209801261737675,0.007396280989657277,0.0,0.02778875032751811,0.0,0.0,0.0,0.021373528389018653,0.0050139392020096445,0.01776942621905566,0.0,0.49063796513659824,0.0028837006291416983,0.03612874813356653
51645,0.0,0.21152228529197406,0.0,0.7699305886635995,0.5011749930130676,0.0,0.12020299064066635,0.6893818840711128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51647,0.6507262732693312,0.012547347469692573,0.448777633828524,0.02308878017696117,0.0,0.0,0.19705913766319055,0.09800392683306208,0.0,0.0,0.0,0.0,0.0,0.0,0.2277545412071807
51648,0.0,0.16411010386683025,0.006001985243030747,0.019433411888387927,0.0,0.5224430872500655,0.43873541879639993,0.005177550124842926,0.0149267557159024,0.0,0.0,0.0,0.07642774341348846,0.9372809171583625,0.14228557818227203
51653,0.11111872853699202,0.036887333335767145,0.0,0.6892890926613151,0.0,0.016346937761787056,0.0,0.0,0.0,0.9646115292909866,0.027235269525811703,0.007711383204162823,0.040024081556430495,0.0,0.021675679473812378
51654,0.03259580957904722,0.19653831365929905,0.5769970946321678,0.0,0.5060212401108392,0.021232036459831113,0.2391502549509299,0.5394681469917297,0.828636029284694,0.0,0.0,0.0,0.09733655119981294,0.0,0.002868184378920371
51655,0.0,0.22980871650230353,0.34715904663181224,0.0,0.47948590675503727,0.0,0.019032270423274985,0.0,0.0,0.007273608621653596,0.013237726006484285,0.0,0.0,0.014955076871565842,0.01942102837222884
51656,0.6547246062541937,0.2646667041475275,0.3225825079976341,0.6112433291123666,0.4447748616911574,0.4370839265738834,0.0,0.23421495728332337,0.0,0.02190355952776431,0.011637240833536478,0.0,0.010302470667035461,0.05051239864574325,0.030515693226948932
51657,0.0,0.049728010646057884,0.4384564935695576,0.7390261882012205,0.0,0.0,0.0,0.10700955145836183,0.0,0.062498890532104,0.0,0.02283866713526667,0.0,0.00792555153075158,0.040098274379300206
51658,0.005042580121977395,0.15931262551437583,0.4556300228880997,0.0,0.0,0.5502309877440414,0.5472767755546019,0.0,0.0,0.0,0.002295647276435865,0.0,0.038214773375738885,0.9058974148050983,0.22979380333484756
51660,0.11879659348301339,0.2143175897366482,0.5365473669518955,0.015663992295542592,0.06553892554960909,0.01111070435622259,0.44470430936018257,0.05644232320350878,0.06705211270842379,0.05240761265646924,0.034072765846878336,0.9972575346364831,0.06752118299298514,0.07382963655298631,0.0
51661,0.01033691274600348,0.20560099137746726,0.3531989220842704,0.030933377355674464,0.040809678281872735,0.47766799370917656,0.4450934314733526,0.0,0.6322701433016896,0.9475705656920604,0.0,0.0,0.014934108477095647,0.0128473250842695,0.4043230431269631
51662,0.0840083537453034,0.0,0.5360067524254485,0.6392933722279476,0.6258566730158784,0.013417786724269284,0.0,0.0,0.5703927604168029,0.014916736981210557,0.0,0.0,0.06360771331222811,0.06704907377122929,0.39314249323688916
51664,0.6039298416005259,0.40967975751582114,0.0,0.0,0.009580698487216804,0.4161807557469177,0.0,0.20557482655088968,0.0,0.0,0.0,0.0,0.0,0.0,0.026368397095092214
51667,0.4194689708106897,0.1557627030500724,0.5645108850132599,0.039152108812758636,0.5325447511379688,0.02215522574778219,0.24856245125348564,0.19054993614595503,0.009723440627586882,0.04685127395053002,0.045339879784728365,0.0026852533649426367,0.0,0.0681276157627239,0.031386127939494295
51668,0.215069899080411,0.12459373737269024,0.016505230167464146,0.09896957313184629,0.0,0.5459574734928753,0.0794220651393891,0.2947466249351607,0.6654217316439416,0.0,0.0,0.0,0.009553630683205055,0.0,0.0032226718064687224
51669,0.016829096353205602,0.02537956880947067,0.4315238478781844,0.0,0.0,0.0,0.27971276097204534,0.14524363523666906,0.003390372319054652,0.0,0.0,0.0028122649600979903,0.0,0.005843582487011642,0.004088620765225885
51670,0.21970702767415,0.27382447367925106,0.0,0.6454654699378956,0.0,0.47302739166461905,0.0,0.0,0.0,0.0,0.0,0.0020172501113420384,0.4897795304967184,0.9895148264382512,0.0
51672,0.0,0.3309122814684303,0.42016004599260137,0.0,0.0,0.0,0.22711643897518563,0.0,0.01525179904682021,0.0,0.006356949648829823,0.0,0.03648833348433902,0.0,0.0026103939322878527
51673,0.0,0.3296717962096257,0.09314679373206435,0.01831400846095692,0.0,0.023691229595127095,0.03999408492826229,0.01453534877218556,0.0022274513955212877,0.0,0.00887257793163905,0.0,0.26304683433022963,0.0,0.0
51675,0.2211176772760934,0.24583267967045508,0.0022722233873027826,0.0,0.4773331143621239,0.37246449161146117,0.009514709136435864,0.3158669740413649,0.5886226556381715,0.026877910996390943,0.0057130860913556835,0.004084636738832525,0.0,0.011021850864498393,0.0
51676,0.05332141377235199,0.11888832083160339,0.0,0.0027050237759068557,0.49810653713040487,0.3901694030757715,0.24872430551978683,0.15078455995969595,0.03739124325487851,0.0,0.01612259464527511,0.01948785292145141,0.16381168811080693,0.0,0.0
51677,0.20353287985312604,0.21656133075330877,0.44012821629543175,0.6708174242674291,0.515651770550652,0.009550639665477442,0.0,0.719896475334402,0.007953507570478158,0.0,0.011820436721589894,0.02086321253987908,0.3207339573833993,0.005316315843815405,0.0
51678,0.16328939825620317,0.4997570059382779,0.09620341356685753,0.6196385229243083,0.5680749297403084,0.01890786728883584,0.0934743747119971,0.14482484951487035,0.0,0.0,0.0,0.0,0.17417339029316523,0.0,0.0
51680,0.021598439441067825,0.41454389950580395,0.5573278667501828,0.5564730714538544,0.026808941691492078,0.0,0.0,0.0,0.0,0.0,0.006243521957231364,0.0,0.0,0.0,0.0
51683,0.41266072319082275,0.3357979140038006,0.00256915705792379,0.0,0.0,8.836956559851797e-05,0.13555271148603862,0.17187727874099595,0.0489797484997653,0.0,0.043357320194184486,0.005982638388316307,0.13395914967951644,0.0,0.08195914810785473
51685,0.22129674533836585,0.2226115973378043,0.4754435485520719,0.05125226725047341,0.0041928722842768966,0.4164869601925614,0.11378015443625769,0.0,0.01640134201220771,0.10316451822046879,0.042895856420325756,0.017367269946890446,0.0107316415707893,0.02595306103633935,0.5495649539031033
51687,0.6652620725877468,0.0832354902292548,0.0,0.013905188666430214,0.0,0.0,0.0,0.0,0.0,0.9985611197925816,0.0,0.0,0.0,0.0,0.4825901405962712
51690,0.10356194413927089,0.17012785464181945,0.41430092748566455,0.0,0.4884461915808545,0.4040948829967938,0.2542030474870754,0.05914902436182047,0.054995243994787085,1.063564352155774,0.03523646347031967,0.014002105417822534,0.013836268174702189,0.0878660524679506,0.0
51691,0.32935899545029773,0.4299114680264743,0.0,0.007601620186262797,0.0,0.0,0.0,0.0,0.6109194832428345,0.0,0.0,0.0,0.0,0.008605004350896216,0.0
51692,0.07787709644989413,0.16055494888222543,0.39473845090199533,0.6267299609573395,0.4304018253612145,0.0,0.0,0.1354366667208743,0.007520452607947105,0.0,0.060624511933888,0.007881619823894152,0.0,0.0,0.0
51694,0.23576392994845227,0.46703217455492657,0.39686827390735624,0.023339037423419636,0.46049285580449073,0.5166340022627642,0.019822904612957416,0.38500240154918963,0.68060946642344,0.0,0.007190638683084546,0.0,0.0,0.0,0.0
51696,0.1363710130988482,0.0,0.6269929895246478,0.0,0.022722747411158383,0.0026200432887991537,0.0,0.2455983397197934,0.08957799505527714,0.026610319470675357,0.016781920076905012,0.006352387824542529,0.11597246826113591,0.9786879377742302,0.003834359964256567
51697,0.04856953051754147,0.18749042817893796,0.0,0.6082274688151363,0.0,0.0,0.0,0.0,0.03782577232166445,0.0,0.03268866723588469,0.02094913570542428,0.0,0.0,0.003895475875997599
51699,0.0,0.0,0.0,0.0,0.0,0.0,0.4277915089140676,0.0,0.7733180762878942,0.0,0.0,0.8317212592151692,0.0,0.7832495536455214,0.0
51701,0.14854242162415726,0.2909438973450131,0.3580281316084118,0.7338562452938997,0.0,0.5639759101549802,0.0,0.040638652906276294,0.0,0.0,0.0,0.015315924112516298,0.032498444573070814,0.0,0.5482981394458604
51702,0.0,0.06905822345533894,0.0,0.015920073803654077,0.0007456596886795107,0.0,0.0,0.12703924101091305,0.0,1.0791434690996136,0.0,0.0,0.7415664465418786,0.0,0.0
51704,0.15163474953479905,0.004243862195906624,0.49427202208098675,0.07357860570466104,0.4343468836447431,0.0,1.3803398878371278,0.06385456894344194,0.0,0.0,0.003455164150861397,0.0,0.0,0.04493844444010046,0.004782222616894144
51705,0.1102012435641294,0.23706262469441713,0.11118243827490466,0.0,0.42715681750644596,0.0,0.08435017336450885,0.16705091633168623,0.7179407209309218,0.06747878358793384,0.0,0.0,0.061976435431983945,0.012359395854999372,0.0
51707,0.25688311808475917,0.0,0.008532481241146979,0.0,0.4751575454766708,0.0,0.0,0.12896512165092666,0.055406439722070086,0.011452411734647934,0.004663825285593516,0.030881929711633394,0.0,0.0,0.0
51708,0.04884957957230218,0.8109757531488704,0.0203373170764055,0.025299040069826462,0.031121356219147096,0.005364387059631187,0.05750870192595683,0.057404867891218424,0.01835784902294248,0.05111650586670748,0.0,0.012554591389300618,0.22586097250668657,0.024754057874366908,0.0
51709,0.0,0.0033808194690756396,0.4651590180799469,0.02224250304913347,0.0,0.4691440747455331,0.8279414797704074,0.013196116502775588,0.0,0.0,0.016443559196666836,0.0,0.0,0.0,0.0
51710,0.24024557929200646,0.18228908997242263,0.3470284003758621,0.622936880907381,0.019031791466053497,0.4535580357447221,0.07833993051446063,0.1772756193959779,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51711,0.14951290665997866,0.0,0.49674334318599705,0.0,0.0550513721591899,0.0,0.0,0.0,0.056031453171556805,0.041907315035046376,0.0025257154044932423,0.0012581148058650165,0.0,0.022264110705312427,0.009263705881917635
51713,0.24045376375235977,0.27596304975746766,0.003945011861105568,0.03913922069312032,0.033261868610974896,0.4221747000084215,0.33707633148293614,1.1678594565421416,0.0,0.0,0.0030614338503508493,0.01321064562225668,0.0931318691325868,0.0,0.03872150529594973
51714,0.2440776503416948,0.12409214874380846,0.5336726282494045,0.04555899061333418,0.0,0.0,0.4055448628201746,1.011501348179454,0.0,0.0,0.0,0.0,0.004329118304400208,0.0,0.6379131323588824
51715,0.0,0.09720842210416117,0.5634962970698881,0.5504218877893077,0.5747258540121964,0.5149589188424835,0.14560684694026746,0.0,0.017146788875839748,0.0,0.0,0.0,0.034749115037324745,0.028306406544937577,0.0
51718,0.33573908904565136,0.3074979999561263,0.48377082361360674,0.0,0.0,0.0,0.025258118797641758,0.0,0.0,0.0,0.0,0.0019758388681823023,0.37338916322502225,0.05183813692833535,0.033985275390540345
51721,0.17584058852616039,0.16500949404561913,0.5519143648398724,0.0,0.0,0.0,0.3034948185004743,0.0,0.0,0.9039580458515085,0.0009607440874876659,0.0,0.031102442579842106,0.8619011417666244,0.0
51723,0.3100929468460524,0.29493096617402026,0.28167466535000774,0.5969946979403117,0.0,0.0,0.0,0.0,0.0,0.010387665125319884,0.0,0.0,0.03089561152513934,0.0,0.45146491222514734
51724,0.49346748086516296,0.17821028139518327,0.03997252948303501,0.019585724875771583,0.4895666724118552,0.011148219817830657,0.11758903694488176,0.2279878684952181,0.0,0.0,0.015983793410797767,0.0,0.054748286734713436,0.0,0.0
51726,0.1691409753215122,0.32225872335102634,0.3637386610544871,0.0017939151090197248,0.0,0.40540903609601775,0.0,0.0,0.0,0.0,0.0,0.0,0.072725736879757,0.0,0.0
51728,0.14581629019382947,0.5195915449051058,0.47833670781036086,0.020037205642586955,0.0,0.0,0.0,0.7904810539592602,0.027369892066752038,0.0,0.0,0.02656403927436736,0.0,0.0,0.0
51730,0.3111510626554788,0.0,0.06836992280427519,0.0,0.06004279506504969,0.0,0.0,0.17181928304624908,0.09597492340232905,0.039481826669766885,0.042725340323513925,0.055589634951592415,0.009109269330694678,0.053879004278995266,0.00656768719147969
51731,0.06022943132930617,0.550863874716852,0.06789430980481898,0.038875118213096985,0.006478921689623417,0.4515817620225471,0.11463424567767397,0.0,0.03161608899083139,1.129870998264008,0.0,0.0,0.24922818080041986,0.0,0.0
51732,0.020211301224896488,0.16197856786081768,0.0,0.8231703489751443,0.0,0.40512294075020494,0.05477402161758243,0.0377537734441146,0.028895440537050857,0.003923205916284667,0.004726768176364575,0.006650808610892455,0.5916681781722297,0.011189391511046578,0.4462583635914941
51734,0.0,0.7226846501679642,0.42858850133827486,0.6550542381058989,0.0,0.014741000541980253,0.0,0.0,0.0,0.0,0.0,0.0,0.16514743523339884,0.0,0.0
51735,0.2123321477275609,0.4406678137945493,0.46313745415773067,0.04460557615314211,0.60916124804448,0.01642921356743554,0.21054820759872606,0.10046695212284933,0.009145162092433368,0.0,0.0,0.0,0.15664147349686433,0.043740034774221205,0.5628677796503302
51736,0.1133004103324984,0.1430139283868721,0.049691567063955305,0.666900017941527,0.5563281299941645,0.0,0.23796810259995663,0.0870376700726124,0.0,0.01809423803021329,0.0,0.0,0.41711555297828273,0.028966087021238682,0.0
51737,0.08596432022464051,0.38139912821473004,0.3304483764225078,0.0,0.008324442566274086,0.6012735921963026,0.0,0.0,0.0,1.2720782681431437,0.9870461519350402,0.00057103708710687,0.0591782151473974,0.0028708101874606196,0.041905601166412225
51738,0.0,0.16536095623043756,0.3224672538216794,0.6865271205597682,0.0,0.0,0.0,0.015201824596223396,0.0,1.005845515666708,0.8246302968671311,0.0,0.0,0.0,0.0
51740,0.0,0.16209253233233795,0.4934750947653896,7.831215928767182e-05,0.33681913276250003,0.45810081906037703,0.0,0.057969280059429765,0.7897336828500101,0.008062460854196478,0.04119910669976625,0.8954641802242043,0.0,0.013366446374113043,0.05156608039399708
51741,0.20754547169569174,0.18634029486263165,0.08928302040355549,0.0,0.5773927745782351,0.4604157338465195,0.0,0.03555385212846228,0.08339354398587831,0.0,0.0,0.014304387391021212,0.5318734063448572,0.0019116116710932393,0.005563917290349991
51744,0.10407104661757412,0.0,0.40352228234270826,0.0,0.0,0.42861231708068914,0.9439360057929271,0.03301623670471404,0.0,0.0,0.0,0.0,0.0,1.0566749068972865,0.24704724346491608
51746,0.0,0.08160743275163404,0.36008356726254637,0.01647878783619279,0.005429362301126738,0.010731986092349696,0.009334642804189988,0.0,0.0,0.0,0.004053661795795967,0.0006600416637320097,0.001354279393981782,0.0,0.029100077088250055
51747,0.20462639916017367,0.15702450743863347,0.3958123344796834,0.0,0.018386979028864187,0.0,0.1028920921049416,1.1063797952712902,0.0039680323728531084,0.0879757951457086,0.0,0.021335678992458227,0.0,0.0,0.05826614487351318
51749,0.14038778488844314,0.22489725936505806,0.0,0.0,0.5189432114116923,0.0,0.21324136672213986,0.0,0.725631520333549,0.018917449835334426,0.0,0.03752504470760473,0.0,0.00786377102628476,0.0012447687275989555
51750,0.10753277461027581,0.63294632068853,0.07718059368271316,0.027866202461825793,0.6119233146744874,0.015560481289386158,0.04799987572515027,0.0,0.01892779654660312,0.060081645535957594,0.0,0.0,0.0,0.06271582756111278,0.0
51754,0.6153082014074865,0.27728486897985033,0.011739134713702516,0.0,0.0,0.4698441359761752,0.0,0.023671689482952424,0.0,0.0,0.0,0.0,0.09111233288216392,0.0,0.0
